RANGO_INICIAL;RANGO_FINAL;DEPARTAMENTO;CIUDAD;SERVICIO
AAA000;AAJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
AAK000;AAZ999;NARIÑO;INUES;PARTICULAR
ABA000;ABJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ACA000;ACJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ACK000;ACZ999;NARINO;SAMANIEGO;PARTICULAR
ADA000;ADJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ADK000;ADK999;ANTIOQUIA;ANDES;PARTICULAR
AEA000;AEJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
AEK000;AEZ999;NARIÑO;BUESACO;PARTICULAR
AFA000;AFJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
AGA000;AGJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
AGK000;AGK499;CALDAS;AGUADAS;PARTICULAR
AGK500;AGZ999;NARIÑO;GUACHUCAL;PARTICULAR
AHA000;AHJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
AIA000;AIJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
AIK000;AIZ999;NARIÑO;PUPIALES;PARTICULAR
AJA000;AJJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
AKA000;AKJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
AKK000;AKL999;CESAR;AGUACHICA;PARTICULAR
ALA000;ALJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
AMA000;AMJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ANA000;ANJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ANK000;ANK999;CALDAS;ANSERMA;PARTICULAR
AOA000;AOJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
APA000;APJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
APK000;APL499;ANTIOQUIA;APARTADO;PARTICULAR
AQA000;AQJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ARA000;ARJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ARK000;ARV999;QUINDIO;ARMENIA;PARTICULAR
ASA000;ASJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ATA000;ATJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
AUA000;AUF000;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
AUJ000;AUJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
AUK000;AUK999;INT. DE ARAU;ARAUCA;PARTICULAR
AUL000;AVK999;NARINO;PASTO;PARTICULAR
AVL000;AVZ999;ATLANTICO;SOLEDAD;PARTICULAR
AWK000;AWP999;MAGDALENA;ARACATACA;PARTICULAR
AWQ000;AWT999;NARINO;PASTO;PARTICULAR
AWU000;AXJ999;TOLIMA;IBAGUE;PARTICULAR
AXK000;AXZ999;SUCRE;SINCELEJO;PARTICULAR
AYK000;AYZ999;CAUCA;TIMBIO;PARTICULAR
AZA000;AZM999;AMAZONAS;LETICIA;PARTICULAR
AZN000;AZS999;TOLIMA;ALVARADO;PARTICULAR
AZT000;AZY999;TOLIMA;ROVIRA;PARTICULAR
AZZ000;AZZ999;TOLIMA;HONDA;PARTICULAR
BAA000;BPJ999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
BPK001;BPZ999;BOLIVAR;TURBACO;PARTICULAR
BQA000;BQZ999;BOLIVAR;SAN JUANNEP;PARTICULAR
BUA000;BVN999;SANTANDER;BUCARAMANGA;PARTICULAR
BVO000;BVZ999;BOLIVAR;TURBACO;PARTICULAR
BWT000;BWX999;ANTIOQUIA;SABANETA;PARTICULAR
BXA000;BXJ999;ANTIOQUIA;SABANETA;PARTICULAR
CAA000;CBZ999;VALLE;CALI;PARTICULAR
CEA000;CER999;VALLE;CALI;PARTICULAR
CES000;CES499;CUNDINAMARCA;CHIA;PARTICULAR
CET000;CEZ999;VALLE;EL CERRITO;PARTICULAR
CFA000;CFW999;VALLE;CALI;PARTICULAR
CFX000;CFZ999;VALLE;CALI;PARTICULAR
CGA000;CGG999;VALLE;CARTAGO;PARTICULAR
CGS000;CHZ999;CUNDINAMARCA;CHIA;PARTICULAR
CIA000;CIA999;ANTIOQUIA;CAUCASIA;PARTICULAR
CIB000;CJJ999;CUNDINAMARCA;CHIA;PARTICULAR
CJK000;CJZ999;CUNDINAMARCA;CHIA;PARTICULAR
CKA000;CKJ999;VALLE;CALI;PARTICULAR
CKK000;CKR999;CORDOBA;CHINU;PARTICULAR
CKS000;CKY999;CORDOBA;CERETE;PARTICULAR
CLA000;CLE999;QUINDIO;CALARCA;PARTICULAR
CLK000;CLN999;CESAR;AGUSTIN CODA;PARTICULAR
CLO000;CLO999;QUINDIO;CIRCASIA;PARTICULAR
CLP000;CLP999;QUINDIO;CIRCASIA;PARTICULAR
CMS000;CMV999;ANTIOQUIA;FRONTINO;PARTICULAR
CMW000;CMX999;BOLIVAR;CLEMENCIA;PARTICULAR
CNA000;CNM999;VALLE;ANDALUCIA;PARTICULAR
CNN000;CNN999;VALLE;CAICEDONIA;PARTICULAR
