PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
VEA009;CALDAS;VILLAMARIA;PUBLICO
VFA008;CALDAS;VILLAMARIA;PUBLICO
DJA009;CALDAS;LA DORADA;PARTICULAR
XJA002;BOYACA;PUERTO BOYAC;PUBLICO
XJA009;BOYACA;PUERTO BOYAC;PUBLICO
DLA004;CALDAS;LA DORADA;PARTICULAR
KGB001;ANTIOQUIA;MEDELLIN;PARTICULAR
XJB004;BOYACA;PUERTO BOYAC;PUBLICO
BWB001;ANTIOQUIA;SABANETA;PARTICULAR
BWB005;ANTIOQUIA;SABANETA;PARTICULAR
DIC007;CALDAS;LA DORADA;PARTICULAR
KJC000;VALLE;GUACARI;PARTICULAR
KJC002;VALLE;GUACARI;PARTICULAR
KJC004;VALLE;GUACARI;PARTICULAR
KJC005;VALLE;GUACARI;PARTICULAR
KJC007;VALLE;GUACARI;PARTICULAR
OSC006;SANTANDER;BARBOSA;OFICIAL
USC008;META;VILLAVICENCI;PUBLICO
UUC007;NORTESANTAN;OCANA;PUBLICO
UDD002;BOLIVAR;MAGANGUE;PUBLICO
KGD005;ANTIOQUIA;MEDELLIN;PARTICULAR
BSD006;SANTANDER;BUCARAMANGA;PARTICULAR
USD004;META;VILLAVICENCI;PUBLICO
DTD001;BOYACA;DUITAMA;PARTICULAR
IVD005;NORTESANTAN;OCANA;PARTICULAR
DOE006;RISARALDA;DOS QUEBRADA;PARTICULAR
POE007;CORDOBA;MONTERIA;PARTICULAR
CWE008;MAGDALENA;CIENAGA;PARTICULAR
CYE005;MAGDALENA;CIENAGA;PARTICULAR
BZE001;VALLE;CALI;PARTICULAR
JHF006;BOYACA;PUERTO BOYAC;PARTICULAR
CMF006;ANTIOQUIA;FRONTINO;PARTICULAR
CMF009;ANTIOQUIA;FRONTINO;PARTICULAR
CVF007;MAGDALENA;CIENAGA;PARTICULAR
CZF006;MAGDALENA;CIENAGA;PARTICULAR
CVG008;MAGDALENA;CIENAGA;PARTICULAR
BWG006;ANTIOQUIA;SABANETA;PARTICULAR
CYG006;MAGDALENA;CIENAGA;PARTICULAR
QAH005;ANTIOQUIA;BELLO;PARTICULAR
DCH005;CALDAS;LA DORADA;PARTICULAR
OCH005;VALLE;CANDELARIA;OFICIAL
VEH002;CALDAS;VILLAMARIA;PUBLICO
KGH002;ANTIOQUIA;MEDELLIN;PARTICULAR
FMH004;TOLIMA;FRESNO;PARTICULAR
FRH004;CUNDINAMARCA;MOSQUERA;PARTICULAR
BSH001;SANTANDER;BUCARAMANGA;PARTICULAR
BTH002;SANTANDER;BUCARAMANGA;PARTICULAR
DUH006;CESAR;VALLEDUPAR;PARTICULAR
CVH001;MAGDALENA;CIENAGA;PARTICULAR
CWH005;MAGDALENA;CIENAGA;PARTICULAR
CWH007;MAGDALENA;CIENAGA;PARTICULAR
HEI006;CALDAS;CHINCHINA;PARTICULAR
VEI001;CALDAS;VILLAMARIA;PUBLICO
CGI006;CUNDINAMARCA;CHIA;PARTICULAR
JGI006;BOYACA;SOGAMOSO;PARTICULAR
KGI002;ANTIOQUIA;MEDELLIN;PARTICULAR
KGI004;ANTIOQUIA;MEDELLIN;PARTICULAR
KGI005;ANTIOQUIA;MEDELLIN;PARTICULAR
KGI006;ANTIOQUIA;MEDELLIN;PARTICULAR
KGI007;ANTIOQUIA;MEDELLIN;PARTICULAR
KGI008;ANTIOQUIA;MEDELLIN;PARTICULAR
FII003;CAQUETA;FLORENCIA;PARTICULAR
III003;NARINO;TUQUERRES;PARTICULAR
VII003;CALDAS;VILLAMARIA;PUBLICO
ILI003;NARINO;IPIALES;PARTICULAR
WLI003;RISARALDA;ST ROSA DCA;PUBLICO
BSI004;SANTANDER;BUCARAMANGA;PARTICULAR
DUI007;CESAR;VALLEDUPAR;PARTICULAR
MUI009;CALDAS;MANIZALES;PARTICULAR
IVI003;NORTESANTAN;OCANA;PARTICULAR
DAJ002;MAGDALENA;CIENAGA;PARTICULAR
MIJ003;ANTIOQUIA;MEDELLIN;PARTICULAR
ZTJ007;SANTANDER;S VICEN CHUC;PARTICULAR
CWJ006;MAGDALENA;CIENAGA;PARTICULAR
CXJ001;MAGDALENA;CIENAGA;PARTICULAR
CYJ005;MAGDALENA;CIENAGA;PARTICULAR
BZJ009;VALLE;CALI;PARTICULAR
RZJ004;BOGOTAD.E.;BOGOTA D.E.;PUBLICO
VAK002;CESAR;VALLEDUPAR;PARTICULAR
UCK009;BOLIVAR;MAGANGUE;PUBLICO
CDK002;VALLE;CALI;PARTICULAR
CDK009;VALLE;CALI;PARTICULAR
DDK007;CALDAS;LA DORADA;PARTICULAR
JDK003;BOYACA;GUATEQUE;PARTICULAR
JFK008;BOYACA;SOGAMOSO;PARTICULAR
HGK005;CALDAS;ANSERMA;PARTICULAR
LGK004;ANTIOQUIA;YARUMAL;PARTICULAR
RGK009;LA GUAJIRA;RIOHACHA;PARTICULAR
FKK003;CAQUETA;FLORENCIA;PARTICULAR
JKK003;TOLIMA;IBAGUE;PARTICULAR
LKK004;ANTIOQUIA;ITAGUI;PARTICULAR
RKK009;VALLE;ROLDANILLO;PARTICULAR
IMK007;SANTANDER;BARRANCABERM;PARTICULAR
SMK000;CUNDINAMARCA;MOSQUERA;PUBLICO
SMK004;CUNDINAMARCA;MOSQUERA;PUBLICO
VMK005;VALLE;CANDELARIA;PUBLICO
FNK005;TOLIMA;FRESNO;PARTICULAR
LNK006;CORDOBA;LORICA;PARTICULAR
ROK000;CALDAS;RIOSUCIO;PARTICULAR
FPK002;TOLIMA;FRESNO;PARTICULAR
KPK007;VALLE;GUACARI;PARTICULAR
HQK002;TOLIMA;CHAPARRAL;PARTICULAR
LRK007;SANTANDER;BARBOSA;PARTICULAR
TUK009;BOLIVAR;TURBACO;PUBLICO
CVK009;MAGDALENA;CIENAGA;PARTICULAR
BWK007;ANTIOQUIA;SABANETA;PARTICULAR
JXK009;HUILA;GARZON;PARTICULAR
MXK007;CALDAS;MANIZALES;PARTICULAR
FYK001;CUNDINAMARCA;FACATATIVA;PARTICULAR
FYK009;CUNDINAMARCA;FACATATIVA;PARTICULAR
IYK002;CESAR;AGUACHICA;PARTICULAR
FZK007;CUNDINAMARCA;FACATATIVA;PARTICULAR
RZK005;BOGOTAD.E.;BOGOTA D.E.;PUBLICO
SZK005;ANTIOQUIA;MEDELLIN;PUBLICO
KAL001;ANTIOQUIA;MEDELLIN;PARTICULAR
HBL001;CALDAS;MANIZALES;PARTICULAR
HHL005;CALDAS;SALAMINA;PARTICULAR
QHL005;CUNDINAMARCA;CHIA;PARTICULAR
IIL003;NARINO;TUQUERRES;PARTICULAR
IJL000;NARINO;TUQUERRES;PARTICULAR
JJL000;TOLIMA;IBAGUE;PARTICULAR
RKL009;VALLE;ROLDANILLO;PARTICULAR
GLL006;CUNDINAMARCA;GIRARDOT;PARTICULAR
RLL000;VALLE;ROLDANILLO;PARTICULAR
EML009;TOLIMA;ESPINAL;PARTICULAR
IML003;SANTANDER;BARRANCABERM;PARTICULAR
WML005;QUINDIO;ARMENIA;PUBLICO
DNL002;CALDAS;LA DORADA;PARTICULAR
VNL002;VALLE;SEVILLA;PUBLICO
WNL002;QUINDIO;CALARCA;PUBLICO
FOL008;TOLIMA;FRESNO;PARTICULAR
JOL009;TOLIMA;ESPINAL;PARTICULAR
ROL000;CALDAS;RIOSUCIO;PARTICULAR
ROL007;CALDAS;RIOSUCIO;PARTICULAR
KPL002;VALLE;GUACARI;PARTICULAR
KPL006;VALLE;GUACARI;PARTICULAR
CRL007;BOLIVAR;CARMEN DEBO;PARTICULAR
MSL009;CORDOBA;MONTERIA;PARTICULAR
WSL006;TOLIMA;IBAGUE;PUBLICO
BTL002;SANTANDER;BUCARAMANGA;PARTICULAR
MUL005;CALDAS;MANIZALES;PARTICULAR
CVL009;MAGDALENA;CIENAGA;PARTICULAR
IVL003;NORTESANTAN;OCANA;PARTICULAR
DXL008;RISARALDA;DOS QUEBRADA;PARTICULAR
FXL006;CUNDINAMARCA;FACATATIVA;PARTICULAR
FYL000;CUNDINAMARCA;FACATATIVA;PARTICULAR
FYL005;CUNDINAMARCA;FACATATIVA;PARTICULAR
FYL007;CUNDINAMARCA;FACATATIVA;PARTICULAR
TAM007;ANTIOQUIA;MEDELLIN;PUBLICO
GBM000;CUNDINAMARCA;FACATATIVA;PARTICULAR
KBM009;ANTIOQUIA;MEDELLIN;PARTICULAR
JDM000;BOYACA;GUATEQUE;PARTICULAR
NEM008;VALLE;PALMIRA;PARTICULAR
IFM002;ANTIOQUIA;TURBO;PARTICULAR
RLM009;VALLE;ROLDANILLO;PARTICULAR
DNM004;CALDAS;LA DORADA;PARTICULAR
FNM009;TOLIMA;FRESNO;PARTICULAR
LNM007;CORDOBA;LORICA;PARTICULAR
WNM004;QUINDIO;CALARCA;PUBLICO
DOM002;RISARALDA;DOS QUEBRADA;PARTICULAR
JOM003;TOLIMA;ESPINAL;PARTICULAR
JOM005;TOLIMA;ESPINAL;PARTICULAR
JOM009;TOLIMA;ESPINAL;PARTICULAR
EPM009;VALLE;LA UNION;PARTICULAR
FPM005;TOLIMA;FRESNO;PARTICULAR
SPM003;CUNDINAMARCA;CHIA;PUBLICO
OSM006;CORDOBA;CHINU;OFICIAL
GTM000;CAUCA;POPAYAN;PARTICULAR
GTM003;CAUCA;POPAYAN;PARTICULAR
GTM006;CAUCA;POPAYAN;PARTICULAR
GTM007;CAUCA;POPAYAN;PARTICULAR
RTM009;BOGOTAD.E.;BOGOTA D.E.;PUBLICO
LUM000;META;VILLAVICENCI;PARTICULAR
CVM003;MAGDALENA;CIENAGA;PARTICULAR
GWM008;CAUCA;POPAYAN;PARTICULAR
LWM007;ANTIOQUIA;ENVIGADO;PARTICULAR
DXM009;RISARALDA;DOS QUEBRADA;PARTICULAR
BZM001;VALLE;CALI;PARTICULAR
FZM002;CUNDINAMARCA;FACATATIVA;PARTICULAR
FZM008;CUNDINAMARCA;FACATATIVA;PARTICULAR
RZM007;BOGOTAD.E.;BOGOTA D.E.;PUBLICO
IAN000;SANTANDER;BUCARAMANGA;PARTICULAR
NCN007;CAUCA;PUERTO TEJAD;PARTICULAR
HDN003;CALDAS;CHINCHINA;PARTICULAR
VDN002;CALDAS;VILLAMARIA;PUBLICO
REN006;VALLE;CALI;PARTICULAR
UEN008;BOLIVAR;MOMPOX;PUBLICO
DFN002;CALDAS;LA DORADA;PARTICULAR
EGN002;SANTANDER;BARRANCABERM;PARTICULAR
LKN003;ANTIOQUIA;ITAGUI;PARTICULAR
LKN005;ANTIOQUIA;ITAGUI;PARTICULAR
GLN004;CUNDINAMARCA;GIRARDOT;PARTICULAR
LMN009;ANTIOQUIA;BELLO;PARTICULAR
FNN001;TOLIMA;FRESNO;PARTICULAR
SON004;BOYACA;SOATA;PUBLICO
FPN008;TOLIMA;FRESNO;PARTICULAR
MPN000;CUNDINAMARCA;MOSQUERA;PARTICULAR
WPN001;QUINDIO;CALARCA;PUBLICO
WPN008;QUINDIO;CALARCA;PUBLICO
BRN004;SANTANDER;BUCARAMANGA;PARTICULAR
ESN009;ATLANTICO;MALAMBO;PARTICULAR
HSN000;RISARALDA;LA VIRGINIA;PARTICULAR
GTN008;CAUCA;POPAYAN;PARTICULAR
UTN002;META;VILLAVICENCI;PUBLICO
FUN006;CUNDINAMARCA;FACATATIVA;PARTICULAR
LUN000;META;VILLAVICENCI;PARTICULAR
MUN003;CALDAS;MANIZALES;PARTICULAR
KWN005;ANTIOQUIA;BELLO;PARTICULAR
MWN002;CALDAS;MANIZALES;PARTICULAR
BYN009;VALLE;CALI;PARTICULAR
KYN005;ANTIOQUIA;BELLO;PARTICULAR
BZN009;VALLE;CALI;PARTICULAR
ABO004;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ABO006;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ABO007;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ABO009;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
DBO003;CALDAS;LA DORADA;PARTICULAR
UBO003;BOLIVAR;MAGANGUE;PUBLICO
