PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
NDC445;CAUCA;PUERTO TEJAD;PARTICULAR
LLD574;ANTIOQUIA;ITAGUI;PARTICULAR
SYM934;CAQUETA;BELEN ANDAQU;PUBLICO
BHM172;BOLIVAR;TURBACO;PARTICULAR
ITP427;NORTESANTAN;OCANA;PARTICULAR
SFV163;CAUCA;PATIA(ELBOR;PUBLICO
TRL833;BOYACA;MIRAFLORES;PUBLICO
CIY017;CUNDINAMARCA;CHIA;PARTICULAR
SIC241;MAGDALENA;CIENAGA;PUBLICO
CIW708;CUNDINAMARCA;CHIA;PARTICULAR
SKL772;BOYACA;COMBITA;PUBLICO
BMS370;BOLIVAR;TURBACO;PARTICULAR
AQB877;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
GUN826;CAUCA;POPAYAN;PARTICULAR
SIB165;MAGDALENA;CIENAGA;PUBLICO
VCU367;CALDAS;VILLAMARIA;PUBLICO
MQE828;TOLIMA;MARIQUITA;PARTICULAR
BDX996;BOLIVAR;TURBACO;PARTICULAR
EUX079;CUNDINAMARCA;MOSQUERA;PARTICULAR
ITP625;NORTESANTAN;OCANA;PARTICULAR
BCA140;BOLIVAR;TURBACO;PARTICULAR
VCM312;CALDAS;VILLAMARIA;PUBLICO
IDC406;SANTANDER;BUCARAMANGA;PARTICULAR
CLB778;CESAR;AGUSTIN CODA;PARTICULAR
BPB141;BOLIVAR;TURBACO;PARTICULAR
UFZ820;MAGDALENA;SANTA MARTA;PUBLICO
BNE980;BOLIVAR;TURBACO;PARTICULAR
TFX319;CUNDINAMARCA;RICAURTE;PUBLICO
UFZ581;MAGDALENA;SANTA MARTA;PUBLICO
JVD423;HUILA;NEIVA;PARTICULAR
PEG407;TOLIMA;PURIFICACION;PARTICULAR
UFY942;MAGDALENA;SANTA MARTA;PUBLICO
GUO847;CAUCA;POPAYAN;PARTICULAR
VCZ294;CALDAS;VILLAMARIA;PUBLICO
VCZ941;CALDAS;VILLAMARIA;PUBLICO
WTM034;TOLIMA;LERIDA;PUBLICO
BPJ056;BOLIVAR;TURBACO;PARTICULAR
BAY640;BOLIVAR;TURBACO;PARTICULAR
EWM250;CUNDINAMARCA;MOSQUERA;PARTICULAR
BLE136;BOLIVAR;TURBACO;PARTICULAR
BOL850;BOLIVAR;TURBACO;PARTICULAR
FTP895;CUNDINAMARCA;MOSQUERA;PARTICULAR
SKK164;CUNDINAMARCA;ZIPAQUIRA;PUBLICO
UVV996;ATLANTICO;BARRANQUILLA;PUBLICO
ZGC986;SANTANDER;SAN GIL;PARTICULAR
VCY730;CALDAS;VILLAMARIA;PUBLICO
VCT253;CALDAS;VILLAMARIA;PUBLICO
SVT038;HUILA;TARQUI;PUBLICO
BOZ321;BOLIVAR;TURBACO;PARTICULAR
SKY792;SUCRE;SAMPUES;PUBLICO
LAP381;ANTIOQUIA;MEDELLIN;PARTICULAR
BPJ424;BOLIVAR;TURBACO;PARTICULAR
UFR685;MAGDALENA;SANTA MARTA;PUBLICO
QGT567;CUNDINAMARCA;CHIA;PARTICULAR
CSC541;BOLIVAR;ARJONA;PARTICULAR
SVV273;HUILA;TARQUI;PUBLICO
TBO377;HUILA;TIMANA;PUBLICO
CSD303;BOLIVAR;ARJONA;PARTICULAR
UFZ404;MAGDALENA;SANTA MARTA;PUBLICO
ZKI014;CALDAS;SALAMINA;PARTICULAR
BOT342;BOLIVAR;TURBACO;PARTICULAR
UFX949;MAGDALENA;SANTA MARTA;PUBLICO
TXS403;CAUCA;MIRANDA;PUBLICO
BDK275;BOLIVAR;TURBACO;PARTICULAR
TWK404;VALLE;LA UNION;OFICIAL
TRG864;BOYACA;MIRAFLORES;PUBLICO
BMP725;BOLIVAR;TURBACO;PARTICULAR
UFR727;MAGDALENA;SANTA MARTA;PUBLICO
THI177;ANTIOQUIA;APARTADO;PUBLICO
ZIS521;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
BLE845;BOLIVAR;TURBACO;PARTICULAR
SKX292;SUCRE;SAMPUES;PUBLICO
BKK053;BOLIVAR;TURBACO;PARTICULAR
SJR341;TOLIMA;LIBANO;PUBLICO
BBX582;BOLIVAR;TURBACO;PARTICULAR
SNS657;CUNDINAMARCA;SOACHA;PUBLICO
SNS357;CUNDINAMARCA;SOACHA;PUBLICO
BOJ174;BOLIVAR;TURBACO;PARTICULAR
CBS569;VALLE;CALI;PARTICULAR
DAT073;VALLE;CANDELARIA;PARTICULAR
NVU935;NARINO;PASTO;PARTICULAR
CBM030;VALLE;CALI;PARTICULAR
SGS270;CAUCA;PATIA(ELBOR;PUBLICO
BKS348;BOLIVAR;TURBACO;PARTICULAR
SRJ732;SANTANDER;PIEDECUESTA;PUBLICO
UFV317;MAGDALENA;SANTA MARTA;PUBLICO
WTI616;TOLIMA;IBAGUE;PUBLICO
VOE686;VALLE;CALI;PUBLICO
VCN463;CALDAS;VILLAMARIA;PUBLICO
CSB796;BOLIVAR;ARJONA;PARTICULAR
TRM620;BOYACA;MIRAFLORES;PUBLICO
GIW148;CUNDINAMARCA;CAQUEZA;PARTICULAR
BCM467;BOLIVAR;TURBACO;PARTICULAR
SNJ533;ANTIOQUIA;SABANETA;PUBLICO
SKZ669;SUCRE;SAMPUES;PUBLICO
SOE777;CUNDINAMARCA;SOACHA;PUBLICO
UFV530;MAGDALENA;SANTA MARTA;PUBLICO
SNS259;CUNDINAMARCA;SOACHA;PUBLICO
CHP949;ANTIOQUIA;CAUCASIA;PARTICULAR
ZIX240;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
BOX996;BOLIVAR;TURBACO;PARTICULAR
AHA439;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
IDG763;SANTANDER;BUCARAMANGA;PARTICULAR
VSN411;HUILA;NEIVA;PUBLICO
VCL886;CALDAS;VILLAMARIA;PUBLICO
CIJ095;CUNDINAMARCA;CHIA;PARTICULAR
EPB259;VALLE;LA UNION;PARTICULAR
PAI583;PUTUMAYO;PUERTO ASIS;PARTICULAR
SGN491;CAUCA;PATIA(ELBOR;PUBLICO
SKV149;CUNDINAMARCA;ZIPAQUIRA;PUBLICO
BCV152;BOLIVAR;TURBACO;PARTICULAR
SIC616;MAGDALENA;CIENAGA;PUBLICO
IDE818;SANTANDER;BUCARAMANGA;PARTICULAR
EVV302;CUNDINAMARCA;MOSQUERA;PARTICULAR
IPM626;SANTANDER;BARBOSA;PARTICULAR
SYR593;NORTESANTAN;CUCUTA;PUBLICO
BGK596;BOLIVAR;TURBACO;PARTICULAR
LIN851;CUNDINAMARCA;MINISTERIO T;PARTICULAR
CGZ366;ANTIOQUIA;CAUCASIA;PARTICULAR
BLJ323;BOLIVAR;TURBACO;PARTICULAR
IPP444;SANTANDER;BARBOSA;PARTICULAR
BLY619;BOLIVAR;TURBACO;PARTICULAR
CNC729;VALLE;CAICEDONIA;PARTICULAR
OMX834;ANTIOQUIA;SABANETA;OFICIAL
IPO896;SANTANDER;BARBOSA;PARTICULAR
BGB960;BOLIVAR;TURBACO;PARTICULAR
VCL337;CALDAS;VILLAMARIA;PUBLICO
VCL463;CALDAS;VILLAMARIA;PUBLICO
BOG508;BOLIVAR;TURBACO;PARTICULAR
CGU928;ANTIOQUIA;CAUCASIA;PARTICULAR
DXZ404;META;RESTREPO;PARTICULAR
VCM000;CALDAS;VILLAMARIA;PUBLICO
SVT296;HUILA;TARQUI;PUBLICO
QFL807;META;VILLAVICENCI;PARTICULAR
BGW173;BOLIVAR;TURBACO;PARTICULAR
SHI628;CAUCA;PATIA(ELBOR;PUBLICO
BPH851;BOLIVAR;TURBACO;PARTICULAR
UVL676;ATLANTICO;BARRANQUILLA;PUBLICO
BFY054;BOLIVAR;TURBACO;PARTICULAR
BKU823;BOLIVAR;TURBACO;PARTICULAR
CSC401;BOLIVAR;ARJONA;PARTICULAR
GUM430;CAUCA;POPAYAN;PARTICULAR
BMJ348;BOLIVAR;TURBACO;PARTICULAR
DVX567;CESAR;ROBLES (LA P;PARTICULAR
NAS437;VALLE;CALI;PARTICULAR
SNY482;CUNDINAMARCA;SOACHA;PUBLICO
LUA058;META;VILLAVICENCI;PARTICULAR
ITS068;NORTESANTAN;OCANA;PARTICULAR
SIA604;MAGDALENA;CIENAGA;PUBLICO
SNX761;CUNDINAMARCA;SOACHA;PUBLICO
LTB346;VALLE;TULUA;PARTICULAR
MAN461;CALDAS;MANZANARES;PARTICULAR
EKR705;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
PNA009;CORDOBA;MONTERIA;PARTICULAR
DXX200;META;RESTREPO;PARTICULAR
NOT902;VALLE;TULUA;PARTICULAR
XIE262;BOYACA;DUITAMA;PUBLICO
XIE516;BOYACA;DUITAMA;PUBLICO
FTQ587;CUNDINAMARCA;MOSQUERA;PARTICULAR
TRD851;BOYACA;MIRAFLORES;PUBLICO
ZGD337;SANTANDER;SAN GIL;PARTICULAR
BDC547;BOLIVAR;TURBACO;PARTICULAR
BKM569;BOLIVAR;TURBACO;PARTICULAR
CRY468;CUNDINAMARCA;LA CALERA;PARTICULAR
ZGE374;SANTANDER;SAN GIL;PARTICULAR
BUZ284;BOLIVAR;TURBACO;PARTICULAR
BEG337;BOLIVAR;TURBACO;PARTICULAR
BFP767;BOLIVAR;TURBACO;PARTICULAR
XID183;BOYACA;DUITAMA;PUBLICO
HGB099;CALDAS;LA DORADA;PARTICULAR
XID788;BOYACA;DUITAMA;PUBLICO
JID612;BOYACA;DUITAMA;PARTICULAR
XIE170;BOYACA;DUITAMA;PUBLICO
